Description,Volume (in Mn),Value (in Cr.),,
Groceries and supermarkets,"3,273.16","76,073.21",,
Fast food restaurants,"1,357.89","16,798.24",,
Eating places and restaurants,"1,190.63","20,842.26",,
"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",867.86,"22,168.74",,
Service stations (with or without ancillary services),657.36,"38,072.43",,
Cigar shops and stands,349.42,"2,158.47",,
Drug stores and pharmacies,324.97,"12,661.02",,
Bakeries,272.1,"4,460.15",,
Dairies,180.58,"5,062.23",,
"Package shops beer, wine and liquor",167.02,"7,177.96",,
"Utilities electric, gas, water and sanitary",157.41,"22,905.11",,
Debt collection agencies,142.02,"50,614.85",,
Online Marketplaces,126.23,"8,350.30",,
"Candy, nut and confectionery shops",121.43,"2,777.26",,
Purchase of digital gold,115.95,"2,290.36",,
Freezer and locker meat provisioners,114.27,"3,791.83",,
Government services not elsewhere classified,105.85,"9,653.39",,
Mens and womens clothing shops,105.38,"13,418.87",,
"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",90.99,"3,703.55",,
"Mens, womens and childrens uniforms and commercial clothing",89.07,"10,082.93",,
Beauty and barber shops,86.6,"2,598.25",,
Electronics shops,86.29,"12,175.87",,
Passenger railways,81.24,"4,160.15",,
Electronics repair shops,80.41,"2,456.83",,
Department stores,77.12,"5,155.82",,
Family clothing shops,72.7,"6,713.91",,
Variety stores,71.73,"4,055.70",,
Securities brokers and dealers,70.24,"66,095.52",,
Taxi-cabs and limousines,68.9,"1,174.46",,
Others,"2,522.74","3,88,092.53",,
Total,"13,027.56","8,25,742.20",,

