Bank Name,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Axis Bank Ltd.,2021,0,0,232530187,221810358,0,0,0,292538909,291078267,333107340,0,0
ICICI Bank,2021,0,0,245424444,0,0,0,0,0,0,0,0,0
Paytm Payments Bank,2021,0,0,469840240,0,0,0,0,0,0,0,0,0
HDFC BANK LTD,2021,0,0,160751686,0,0,0,0,0,0,0,0,0
Yes Bank Ltd,2021,0,0,334873698,0,0,0,0,0,0,0,0,0
INDUSIND BANK,2021,0,0,37401860,0,0,0,0,0,0,0,0,0
State Bank Of India,2021,0,0,413326482,0,0,0,0,0,0,0,0,0
Federal Bank,2021,0,0,68276229,0,0,0,0,0,0,0,0,0
Airtel Payments Bank,2021,0,0,26418076,27484084,27207362,30948830,38675959,43102787,0,0,0,0
ABHYUDAYA CO-OP. BANK LTD,2021,0,0,0,988084,1035887,1105705,1218990,1340921,1331135,1577905,1523982,1655310
THE AHMEDABAD DISTRICT COOP BANK LTD,2021,0,0,0,181312,0,0,0,268447,266918,322513,284661,314706
Assam Gramin Vikash Bank,2021,0,0,0,236752,164045,170614,213713,270391,154450,146232,0,0
Andhra Bank,2021,0,0,0,26678360,26283728,24744973,24458198,22539321,0,0,0,0
Andhra Pragathi Grameena Bank,2021,0,0,0,2883022,3055255,3278939,3418975,3463458,0,0,0,0
Andhra Pradesh Grameena Vikas Bank,2021,0,0,0,4019126,4338257,4850478,5138298,5125827,5095631,5794919,0,0
AU Small Finance Bank,2021,0,0,0,4082776,0,0,0,0,0,0,0,0
Bassein Catholic Co-operative Bank,2021,0,0,0,369211,0,0,0,0,0,0,0,0
A P Mahesh Bank,2021,0,0,0,0,182818,209158,236193,0,0,0,0,0
Adarsh Co-operative Bank Limited,2021,0,0,0,0,36655,43976,54816,0,62414,71808,72830,80731
Ahmednagar Merchant's Co Operative Bank Ltd,2021,0,0,0,0,57267,82384,87552,104593,110747,144248,131237,142240
Apna Sahakari Bank Ltd.,2021,0,0,0,0,511575,563108,630443,0,0,0,0,0
AU small Finance Bank,2021,0,0,0,0,0,0,0,6304154,0,0,0,0
The Adarsh Co-operative Urban Bank Ltd.,2021,0,0,0,0,0,0,0,0,149119,171981,185377,215773
The Akola District Central Co-oP.Bank Ltd,2021,0,0,0,0,0,0,0,0,26587,32808,38993,0
The Anand Mercantile Co-operative Bank Ltd,2021,0,0,0,0,0,0,0,0,2580,3511,0,0
Akhand Anand Co-op Bank Ltd,2021,0,0,0,0,0,0,0,0,0,0,3865,5597
The Agrasen Co-Operative Urban Bank Ltd,2021,0,0,0,0,0,0,0,0,0,0,37,418
Amreli Jilla Madhyastha Sahakari Bank Ltd,2021,0,0,0,0,0,0,0,0,0,0,4573,5744
AJANTHA URBAN CO OP BANK LTD,2021,0,0,0,0,0,0,0,0,0,0,27,419
The Junagadh Commercial Co-Operative Bank Ltd,2021,0,0,0,0,0,0,0,0,0,0,0,1125
A P Mahesh Bank,2022,244065,209999,258437,0,0,0,0,0,0,0,0,0
ABHYUDAYA CO-OP. BANK LTD,2022,1641895,1579908,0,1843899,1872698,0,0,0,0,2195975,2061811,2188975
Adarsh Co-operative Bank Limited,2022,77755,0,0,84570,88963,0,0,0,0,115833,105600,105866
Ahmednagar Merchant's Co Operative Bank Ltd,2022,151646,148166,0,178504,191058,0,0,0,0,226665,207954,219442
Airtel Payments Bank,2022,50673317,0,0,0,0,0,0,0,0,0,0,0
AJANTHA URBAN CO OP BANK LTD,2022,1271,2142,3710,4295,5179,0,0,0,0,0,0,0
Akhand Anand Co-op Bank Ltd,2022,7152,8124,0,12334,12720,0,0,0,0,20750,17910,21528
Ambajogai Peoples Co-Operative Bank Ltd,2022,41933,0,55907,0,0,0,0,0,0,0,0,0
Amreli Jilla Madhyastha Sahakari Bank Ltd,2022,6908,7448,0,12598,14192,0,0,0,0,0,0,0
Andhra Bank,2022,76874,0,97576,0,0,0,0,0,0,0,0,0
The Adarsh Co-operative Urban Bank Ltd.,2022,0,220653,270385,276753,294557,0,0,0,0,358707,366362,415833
The Agrasen Co-Operative Urban Bank Ltd,2022,0,1209,0,3098,5371,0,0,0,0,9950,11459,14081
The Ahmedabad Mercantile Cooperative Bank Ltd,2022,0,72709,83822,0,0,0,0,0,0,0,0,0
Assam Gramin Vikash Bank,2022,0,219038,0,0,0,0,0,0,0,0,0,0
The Akola District Central Co-oP.Bank Ltd,2022,0,0,84444,0,0,0,0,0,0,0,0,0
The Anand Mercantile Co-operative Bank Ltd,2022,0,0,4621,0,0,0,0,0,0,0,0,0
Axis Bank,2022,0,0,13349962,0,0,0,423392126,0,504891088,0,0,0
Andhra Pradesh Grameena Vikas Bank,2022,0,0,6985312,0,0,0,0,0,0,0,0,0
THE AHMEDABAD DISTRICT COOP BANK LTD,2022,0,0,0,380707,392507,0,0,0,0,502592,449825,504460
AJC,2022,0,0,0,58021,2924,0,0,0,0,0,0,0
Paytm Payments Bank,2022,0,0,0,0,0,1370056710,1469600152,1504633149,1536462173,0,0,0
State Bank Of India,2022,0,0,0,0,0,764661895,802559910,818721387,841593180,0,0,0
Yes Bank Ltd,2022,0,0,0,0,0,510007128,571527103,816885154,920530848,0,0,0
Axis Bank Ltd.,2022,0,0,0,0,0,417746030,0,489538210,0,0,0,0
ICICI Bank,2022,0,0,0,0,0,322203419,352988974,0,0,0,0,0
HDFC BANK LTD,2022,0,0,0,0,0,302980347,0,339496912,0,0,0,0
Bank of Baroda,2022,0,0,0,0,0,202603215,214137327,221982789,225524842,0,0,0
Union Bank of India,2022,0,0,0,0,0,197565148,0,212557047,0,0,0,0
Canara Bank,2022,0,0,0,0,0,148364253,156597224,160509719,162670711,0,0,0
Punjab National Bank,2022,0,0,0,0,0,142397720,147859085,155253182,158465443,0,0,0
HDFC Bank,2022,0,0,0,0,0,0,328731022,0,350769901,0,0,0
Union Bank Of India,2022,0,0,0,0,0,0,206833160,0,213892368,0,0,0
Federal Bank,2022,0,0,0,0,0,0,0,152098207,154932721,0,0,0
THE ABHINAV SAHAKARI BANK LTD,2022,0,0,0,0,0,0,0,0,0,17537,19062,25422
AHS,2022,0,0,0,0,0,0,0,0,0,4706,0,0
Ambarnath Jai Hind Co Operative Bank Ltd,2022,0,0,0,0,0,0,0,0,0,43491,45832,0
AHMEDNAGAR SHAHAR SAHAKARI BANK MARYADIT,2022,0,0,0,0,0,0,0,0,0,0,6951,8571
The Junagadh Commercial Co-Operative Bank Ltd,2022,0,0,0,0,0,0,0,0,0,0,0,10105
