Bank Name,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Axis Bank Ltd.,2021,0,0,232530187,221810358,204814835,227526239,269134660,292538909,291078267,333107340,331518698,366143275
ICICI Bank,2021,0,0,245424444,248843901,280542304,288306012,310998996,323978595,0,0,366715653,389514162
Paytm Payments Bank,2021,0,0,469840240,430037221,0,0,0,642432591,0,0,0,0
HDFC BANK LTD,2021,0,0,160751686,151348400,143067371,161815030,188406519,199418363,0,0,227659888,247039734
State Bank Of India,2021,0,0,413326482,396295212,0,0,0,535438471,0,0,0,0
Bank of Baroda,2021,0,0,91601545,85871570,82776822,94416846,111240996,124496245,128634683,147472777,144707183,160553435
Yes Bank Ltd,2021,0,0,669747396,359776883,0,0,0,0,0,0,0,0
Canara Bank,2021,0,0,72882141,69892504,64515872,73171653,87394427,95002779,98697046,110727866,111264453,124531173
Bank of India,2021,0,0,59271935,56073397,55335256,61915380,70457314,77820956,0,0,90054990,98960031
Kotak Mahindra Bank,2021,0,0,57595479,56407622,50023287,55818323,69137782,76741340,79235252,97005277,0,0
Paytm Payments Bank,2022,0,0,0,0,0,1370056710,1469600152,1504633149,1536462173,0,0,0
Axis Bank Ltd.,2022,353127676,338972458,0,408616270,450072141,483144826,0,489538210,0,542372049,468170733,500794205
State Bank Of India,2022,0,0,0,0,0,764661895,802559910,818721387,841593180,0,0,0
Yes Bank Ltd,2022,0,0,0,0,0,613013587,690786749,816885154,920530848,0,0,0
ICICI Bank,2022,378364370,0,91033596,0,0,414127387,449275651,456960844,455312536,0,0,0
Bank of Baroda,2022,161691133,0,0,194472898,204050160,202603215,214137327,221982789,225524842,240326871,233630374,249014303
Canara Bank,2022,122303468,0,142518410,142038018,146642315,148364253,156597224,160509719,162670711,172295030,173677946,185708858
Axis Bank,2022,0,0,413308248,0,0,0,498777660,0,504891088,0,0,0
Bank of India,2022,99091873,0,0,113712331,118624539,116980632,121886186,124886104,126107121,134006598,129978536,137976986
HDFC BANK LTD,2022,246236567,0,0,278393634,0,302980347,0,339496912,0,0,0,0
Axis Bank,2023,492003615,459961110,531221776,548882361,573520869,567738127,595646835,627701690,622478035,683303271,0,751101879
Bank of Baroda,2023,247339037,236714404,267273056,269463770,278653992,274761282,290116493,308673315,301811750,326934964,0,333641661
PAYTM PAYMENTS BANK,2023,0,0,0,0,0,0,0,0,0,0,0,2835269661
Canara Bank,2023,186885794,176740404,201815315,202153230,210044997,209796275,223293780,235334110,234424159,0,252282605,268749762
HDFC Bank,2023,0,0,443876725,443162003,0,0,510543535,0,0,0,0,549406816
Bank Of India,2023,138670487,129730665,146911371,147233517,151380314,148535615,155208743,164102981,162605709,175960442,0,179902257
AIRTEL PAYMENTS BANK LIMITED,2023,108801914,100184804,113996198,113092726,116466990,116092531,124059324,135794991,141030339,158703428,0,174413795
ICICI Bank,2023,0,0,601019334,590658088,0,0,0,0,0,0,0,128277520
State Bank of India,2023,0,0,0,0,0,0,0,0,0,0,0,1252205338
Federal Bank,2023,0,0,198099759,202488408,0,0,229056916,0,0,0,0,291789519
Yes Bank Ltd,2024,0,0,0,0,0,2738176447,2773266635,6217307733,6266764418,6919075821,0,0
YES BANK PHONEPE,2024,2143885417,2143885417,2742937175,2841004902,0,0,0,0,0,0,3525226504,3770862693
YES BANK LIMITED YBS,2024,75636704,75636704,93086181,2655013491,2784823493,0,0,0,0,0,2983552749,3165962087
State Bank Of India,2024,0,0,0,0,1727834851,1679342528,1729190942,1712362681,1668101020,1811854413,0,0
State Bank of India,2024,1419137548,1419137548,1654944351,1666907270,0,0,0,0,0,0,1689013475,1838995414
Axis Bank Ltd.,2024,0,0,0,0,1381506231,1369785914,1470144212,1538549426,1572925656,1765433302,0,0
PAYTM PAYMENTS BANK,2024,3018399264,3018399264,2656865393,0,0,0,0,0,0,0,0,0
Axis Bank,2024,831087667,831087667,1032244017,1046142811,0,0,0,0,0,0,1359104283,1459808988
Yes Bank Ltd Phone Pe,2024,0,0,0,0,3030611230,3034006752,0,0,0,0,0,0
Bank of Baroda,2024,364358284,364358284,403268435,412582940,435083796,433266857,499884502,480848421,461964877,513896509,449457027,490039987
YES BANK PHONEPE,2025,3888546567,3727686816,4271370503,4319644576,4192722694,4108769290,4323766407,4406104140,4360762970,0,0,0
YES BANK LIMITED YBS,2025,3175076822,2961781627,3300319005,3179224466,3180014174,3149465411,135294403,3277747437,110446552,0,0,0
State Bank of India,2025,1859911486,1761685460,1998177057,1898813687,1968448634,1940773298,2091539394,2190765936,2212380934,0,0,0
Axis Bank,2025,1508405160,1454282196,1683512042,1674148506,1731618995,1675270691,1811731240,1895020666,1869405534,0,0,0
HDFC Bank,2025,884574584,846557208,963379062,946044371,1023662930,830443307,1089842375,1118869739,1095227938,0,0,0
YES BANK PTY,2025,430618678,462279336,570274498,620971230,719505615,781042286,884893531,960719380,1016604212,0,0,0
PAYTM PAYMENTS BANK,2025,0,0,0,0,0,0,3149282382,0,3035876995,0,0,0
Bank of Baroda,2025,502364938,470528043,534797001,515810328,526834914,513634567,550077564,572936338,574040910,0,0,0
ICICI Bank LTD GTI,2025,520266257,466374616,501607270,456295396,490417432,478592235,503843761,441063608,444324288,0,0,0
Union Bank Of India,2025,459375144,433575723,490380424,466132805,479873765,468192096,489109721,507475543,506880617,0,0,0
