UPI Apps (Oct'25),Unnamed: 1,Unnamed: 10,Unnamed: 11
Sr.No.,Application Name,Total,
,,Volume (Mn),Value (Cr)
1,Phone Pe #,"9,412.07","13,06,401.90"
2,Google Pay #,"7,165.80","9,54,186.10"
3,Paytm #,"1,522.78","1,67,177.27"
4,Navi #,574.3,"30,618.30"
5,super.money #,264.79,"10,964.42"
6,Axis Bank Apps,163.59,"16,275.47"
7,Cred #,157.99,"62,438.03"
8,FamApp by Trio #,146.03,"1,901.01"
9,BHIM #,125.7,"19,415.75"
10,Amazon Pay #,94.32,"10,994.71"
11,Kotak Mahindra Bank Apps,85.13,"10,804.60"
12,Whatsapp #,84.35,"6,512.78"
13,HDFC Bank Apps,80.2,"18,320.93"
14,ICICI Bank Apps,73.21,"18,111.09"
15,Yes Bank Apps,54.16,"5,552.64"
16,Mobikwik #,52.58,"6,516.60"
17,Pop Club #,39.81,"1,703.59"
18,Slice Small Finance Bank Apps,25.43,"3,170.53"
19,India Post Payments Bank Apps,17.97,"1,879.52"
20,Bharat Pe #,17.62,"1,565.97"
21,Airtel Payments Bank Apps,17.43,"1,340.02"
22,Groww #,15.87,"12,555.52"
23,IDFC Bank Apps,13.74,"3,041.73"
24,State Bank of India Apps,12.9,"4,041.83"
25,Bajaj Finserv,12.82,"2,599.57"
26,Samsung Pay #,10.47,758.79
27,RBL Bank Apps,6.92,"1,983.26"
28,Federal Bank Apps,6.91,"1,451.91"
29,Jupiter Money #,6.06,991.54
30,Jio Payments Bank Apps,5.68,417.41
31,Deutsche Bank Apps,5.21,"1,035.32"
32,Canara Bank Apps,4.37,"1,134.04"
33,Punjab National Bank Apps,4.16,"1,115.29"
34,NSDL Payments Bank Apps,3.47,368.39
35,Flipkart UPI #,3.31,208.86
36,Ind Money #,2.98,"1,121.61"
37,Kiwi #,2.92,403.52
38,Bank of Baroda Apps,2.77,721.71
39,Timepay #,2.73,38.73
40,Fi Money #,2.7,405.88
41,Jammu and Kashmir Bank Apps,2.66,419.17
42,Suryoday Bank Apps,2.3,14.34
43,Omni Card,1.92,128.78
44,IndusInd Bank Apps,1.58,224.25
45,HSBC Bank Apps,1.51,170.25
46,Shri Ram One,1.43,121.39
47,Indian Bank Apps,1.38,342.06
48,Money View #,1.38,105.13
49,Digikhata,1.14,409.7
50,ESAF Small Finance Bank Apps,0.97,98.21
51,Fino Payments Bank Apps,0.91,82.72
52,South Indian Bank Apps,0.87,259.65
53,One Card,0.73,904.13
54,Union Bank Apps,0.73,225.05
55,AU Small Finance Bank Apps,0.71,246.67
56,Kredit Pe #,0.63,56.41
57,DBS Digibank Apps,0.61,217.83
58,UCO Bank Apps,0.59,161.03
59,Tata Pay #,0.5,167.09
60,KreditBee #,0.5,13.91
61,Salary Se #,0.48,24.33
62,Jar #,0.46,10.67
63,Aditya Birla Capital Digital,0.42,21.46
64,Central Bank of India Apps,0.4,115.39
65,Bank of India Apps,0.33,107.21
66,Spice Money,0.33,31.47
67,Standard Chartered Bank Apps,0.29,120.33
68,Rapipay,0.26,27.54
69,Karnataka Bank Apps,0.26,62.55
70,Dhani,0.24,10.84
71,Indian Overseas Bank Apps,0.21,59.47
72,IDBI Bank Apps,0.17,75.41
73,True Balance,0.15,5.04
74,Obopay,0.14,21.43
75,Karur Vysya Bank Apps,0.12,44.87
76,Tamilnad Mercantile Bank Apps,0.1,35.99
77,Ultracash #,0.09,6.99
78,Unity Small Finance Bank Apps,0.08,25.74
79,City Union Bank Apps,0.08,32.76
80,Payworld,0.07,5.97
81,Punjab Sind Bank Apps,0.03,9.03
82,Freo #,0.03,2.1
83,Bank of Maharashtra Apps,0.03,6.86
84,Equitas Small Finance Bank Apps,0.02,7.76
85,Utkarsh Small Finance Bank Apps,0.02,5.64
86,Others,2.44,234.42
